city,county,state,lat,lng
Sunrise Springs,Apache,AZ,-109.7476206,35.6018444
Allentown,Apache,AZ,-109.158426,35.291969
Los Burros,Apache,AZ,-109.7770457,34.1414335
Oak Springs,Apache,AZ,-109.1297943,35.4755773
Heap Place,Apache,AZ,-109.4081578,34.5836456
Tsaile,Apache,AZ,-109.1901071,36.290311
Boneyard,Apache,AZ,-109.2723038,33.8792177
Concho,Apache,AZ,-109.6059405,34.4753132
Eagar,Apache,AZ,-109.291475,34.1111581
Alpine,Apache,AZ,-109.142226,33.8485353
Tsintaa Yiti Ii,Apache,AZ,-109.8123348,35.8255641
Tanner Springs,Apache,AZ,-109.68567,35.2883528
Paulcell Place,Apache,AZ,-109.8259491,34.9619703
Fort Defiance,Apache,AZ,-109.076482,35.7444603
Hunters Point,Apache,AZ,-109.103356,35.5488308
Chambers,Apache,AZ,-109.4336559,35.189435
Twin Falls,Apache,AZ,-109.1026018,36.8636102
Wheatfields,Apache,AZ,-109.12631,36.2382416
Houck,Apache,AZ,-109.2145492,35.2854449
White Clay,Apache,AZ,-109.218711,36.0650068
Mexican Water Trading Post,Apache,AZ,-109.603618,36.9241275
Rock Point,Apache,AZ,-109.624514,36.7170573
Chetco,Apache,AZ,-109.3342673,35.2164137
Lower Wheatfields,Apache,AZ,-109.1359323,36.2041713
Del Muerto,Apache,AZ,-109.442883,36.1847258
McNary,Apache,AZ,-109.8537511,34.0746991
Springerville,Apache,AZ,-109.2860081,34.1340599
Cornfields,Apache,AZ,-109.679275,35.652235
Salado,Apache,AZ,-109.4109913,34.4338722
Bonita Trading Post,Apache,AZ,-109.0703715,35.7364049
Greer,Apache,AZ,-109.4587014,34.0100477
Window Rock,Apache,AZ,-109.058149,35.6763274
Yazzi,Apache,AZ,-109.224268,36.5791674
Cottonwood,Apache,AZ,-109.890999,36.0746354
Burnside,Apache,AZ,-109.626352,35.752268
Round Rock,Apache,AZ,-109.473439,36.5130564
Lupton,Apache,AZ,-109.053701,35.3539127
Blue Gap,Apache,AZ,-109.946506,36.1708352
Tes Nez Iah,Apache,AZ,-109.7089323,36.9419601
Diamond Fields,Apache,AZ,-109.890117,36.8127794
Toyei,Apache,AZ,-109.938172,35.7025091
Totacon,Apache,AZ,-109.4172173,36.8629118
Teec Nos Pos,Apache,AZ,-109.0963926,36.9231409
Horse Mesa,Apache,AZ,-109.0464866,36.705
Coyote Springs,Apache,AZ,-109.716222,36.2605572
Sawmill,Apache,AZ,-109.162991,35.900759
Maverick,Apache,AZ,-109.5473111,33.742829
Vernon,Apache,AZ,-109.6928828,34.2575361
Flat Rock,Apache,AZ,-109.555662,36.0055622
Saint Michaels,Apache,AZ,-109.0937302,35.6512365
Dennehotso,Apache,AZ,-109.846239,36.8440622
Nutrioso,Apache,AZ,-109.2092478,33.953106
Hunt,Apache,AZ,-109.6276083,34.6100336
Navajo é Kin Łigaaí,Apache,AZ,-109.537964,35.1243353
Ganado,Apache,AZ,-109.542121,35.7116198
Steamboat,Apache,AZ,-109.850669,35.748065
Cove,Apache,AZ,-109.215224,36.5669697
Sand Springs,Apache,AZ,-109.702334,36.8394461
Nazlini,Apache,AZ,-109.447212,35.8994752
Lukachukai,Apache,AZ,-109.226751,36.4158307
Kinlichee,Apache,AZ,-109.425657,35.7561245
Rough Rock,Apache,AZ,-109.8667039,36.4111651
Kinney Junction,Apache,AZ,-109.773987,33.9172704
Troweek,Apache,AZ,-109.0606318,33.9289404
Many Farms,Apache,AZ,-109.617172,36.3531019
Mexican Water,Apache,AZ,-109.63789,36.9669462
El Tule,Apache,AZ,-109.3973191,34.3797616
St. Johns,Apache,AZ,-109.360932,34.5058698
Feaster,Apache,AZ,-109.1453578,33.9917171
Tahchee,Apache,AZ,-109.89456,36.2286124
Salina,Apache,AZ,-109.8673366,36.0222271
Emmanuel Mission,Apache,AZ,-109.397329,36.8022227
Pine Springs,Apache,AZ,-109.280097,35.4052998
Richville,Apache,AZ,-109.3553692,34.2861539
Rosebud,Apache,AZ,-109.2673061,34.0006051
Klagetoh,Apache,AZ,-109.52816,35.501962
Adamana,Apache,AZ,-109.8223383,34.9766921
Potter Place,Apache,AZ,-109.6556655,34.8111414
Pinta,Apache,AZ,-109.630668,35.0822462
Green Spot,Apache,AZ,-109.4037021,34.1897669
Wood Springs,Apache,AZ,-109.434547,35.8311225
Wide Ruins,Apache,AZ,-109.496494,35.4194639
Milkwater,Apache,AZ,-109.110653,36.0527857
Hawley Lake,Apache,AZ,-109.7470435,33.983936
Greer Place,Apache,AZ,-109.605108,34.6033666
Chinle,Apache,AZ,-109.581273,36.1621322
Sanders,Apache,AZ,-109.333711,35.2164137
Upper Wheatfields,Apache,AZ,-109.079819,36.2230603
Red Rock,Apache,AZ,-109.060653,36.6044451
Northwoods,Apache,AZ,-109.4567571,34.0283807
Woodland Valley Ranch,Apache,AZ,-109.1183459,34.6505102
McCarrell,Apache,AZ,-109.4865292,35.1667213
Nahata Dziil,Apache,AZ,-109.326553,35.0920925
Adeií Díwózhii Biiʼ Tó,Apache,AZ,-109.2488944,36.3695115
Junction Overlook,Apache,AZ,-109.4937018,36.1375024
Sehili,Apache,AZ,-109.169073,36.2793244
Tókʼi Hazbįʼí,Apache,AZ,-109.8788474,36.1277332
Totshoh,Apache,AZ,-109.2368878,36.4118517
Tʼiisyáázh Łání,Apache,AZ,-109.6087754,36.2656456
Ałchʼįʼáhootʼé,Apache,AZ,-109.7423697,35.610785
Béésh Biiʼtó,Apache,AZ,-109.9806258,35.772372
Choyojdolid,Apache,AZ,-109.3998926,35.718778
Kin Łigaaí,Apache,AZ,-109.7223142,35.5544316
Nátʼohchǫʼí,Apache,AZ,-109.5298899,35.7174305
Ndilkalí,Apache,AZ,-109.9552965,35.9038608
Navajo Springs,Apache,AZ,-109.4949358,35.100024
Red Mesa,Apache,AZ,-109.3509445,36.9610046
Bradberry,Cochise,AZ,-110.3125809,32.4103504
Village Meadows,Cochise,AZ,-110.2714688,31.5500953
Contention,Cochise,AZ,-110.2021489,31.7683834
Benson,Cochise,AZ,-110.2945174,31.9678611
Fenner,Cochise,AZ,-110.231317,31.9701775
Tully,Cochise,AZ,-110.1234032,31.9828606
Dragoon,Cochise,AZ,-110.0386795,32.0281367
East Pershing Plaza,Cochise,AZ,-110.3436914,31.5550948
Tombstone,Cochise,AZ,-110.0652028,31.714229
Benson Junction,Cochise,AZ,-110.198132,31.7392562
Nicksville,Cochise,AZ,-110.2431107,31.4378922
Palominas,Cochise,AZ,-110.1184106,31.3798232
Ramsey,Cochise,AZ,-110.3114692,31.4459318
De Anza Village,Cochise,AZ,-110.3423026,31.5517616
Mescal,Cochise,AZ,-110.4353531,31.9900824
Pomerene,Cochise,AZ,-110.286183,31.999527
Huachuca City,Cochise,AZ,-110.3339678,31.6278703
Chamiso,Cochise,AZ,-110.354518,31.9928603
Fry,Cochise,AZ,-110.29508,31.5567617
Apache Flats,Cochise,AZ,-110.3625803,31.5581502
Coronado Village,Cochise,AZ,-110.3478582,31.5487061
Hereford,Cochise,AZ,-110.0978554,31.4384325
Gatewood Housing,Cochise,AZ,-110.335358,31.5550948
Hookers Hot Springs,Cochise,AZ,-110.2381535,32.3353229
Miles Manor,Cochise,AZ,-110.3398025,31.558428
Curtiss,Cochise,AZ,-110.2297962,31.88453
Signal Village,Cochise,AZ,-110.3561916,31.5500949
Bonnie Blink,Cochise,AZ,-110.3723028,31.5467616
Saint David,Cochise,AZ,-110.2142399,31.9042517
Stark,Cochise,AZ,-110.0367427,31.3714901
West Pershing Plaza,Cochise,AZ,-110.349247,31.5550948
Boquillas,Cochise,AZ,-110.2281323,31.7720329
Miracle Valley,Cochise,AZ,-110.1517244,31.3831375
Escalante Crossing,Cochise,AZ,-110.2097966,31.8611973
Campstone,Cochise,AZ,-110.3464676,31.6434253
Sierra Vista,Cochise,AZ,-110.2997756,31.5545973
Bledsoe,Cochise,AZ,-110.306747,31.4478762
Johnson,Cochise,AZ,-110.0661806,32.1031341
Whetstone,Cochise,AZ,-110.3463928,31.6975586
Sierra Vista Estates,Cochise,AZ,-110.2548026,31.4834308
