zip,county,state,lat,lng
00601,Adjuntas,PR,18.18027,-66.75266
00601,Utuado,PR,18.18027,-66.75266
00602,Aguada,PR,18.36075,-67.17541
00603,Aguadilla,PR,18.45744,-67.12225
00603,Moca,PR,18.45744,-67.12225
00606,Maricao,PR,18.16585,-66.93716
00606,Yauco,PR,18.16585,-66.93716
00606,Sabana Grande,PR,18.16585,-66.93716
00610,Añasco,PR,18.2911,-67.12243
00610,Moca,PR,18.2911,-67.12243
00610,Las Marías,PR,18.2911,-67.12243
00610,Aguada,PR,18.2911,-67.12243
00611,Utuado,PR,18.27698,-66.80688
00612,Arecibo,PR,18.41283,-66.7051
00612,Hatillo,PR,18.41283,-66.7051
00612,Barceloneta,PR,18.41283,-66.7051
00616,Arecibo,PR,18.41878,-66.6679
00617,Barceloneta,PR,18.44598,-66.56006
00617,Florida,PR,18.44598,-66.56006
00622,Cabo Rojo,PR,17.98892,-67.1566
00623,Cabo Rojo,PR,18.08429,-67.15336
00624,Peñuelas,PR,18.05905,-66.71932
00624,Ponce,PR,18.05905,-66.71932
00627,Camuy,PR,18.41905,-66.86037
00631,Lares,PR,18.1852,-66.83169
00631,Adjuntas,PR,18.1852,-66.83169
00636,San Germán,PR,18.16354,-67.08014
00637,Sabana Grande,PR,18.081,-66.94659
00637,San Germán,PR,18.081,-66.94659
00637,Lajas,PR,18.081,-66.94659
00638,Ciales,PR,18.28462,-66.5137
00638,Orocovis,PR,18.28462,-66.5137
00638,Manatí,PR,18.28462,-66.5137
00641,Utuado,PR,18.26742,-66.70212
00646,Dorado,PR,18.43251,-66.28429
00646,Vega Alta,PR,18.43251,-66.28429
00647,Guánica,PR,17.96667,-66.94266
00647,Lajas,PR,17.96667,-66.94266
00650,Florida,PR,18.34487,-66.58347
00650,Utuado,PR,18.34487,-66.58347
00650,Manatí,PR,18.34487,-66.58347
00650,Ciales,PR,18.34487,-66.58347
00650,Arecibo,PR,18.34487,-66.58347
00650,Barceloneta,PR,18.34487,-66.58347
00652,Arecibo,PR,18.45614,-66.60194
00653,Guánica,PR,17.99413,-66.90266
00653,Sabana Grande,PR,17.99413,-66.90266
00656,Guayanilla,PR,18.04186,-66.79123
00656,Yauco,PR,18.04186,-66.79123
00656,Peñuelas,PR,18.04186,-66.79123
00659,Hatillo,PR,18.41036,-66.79691
00660,Hormigueros,PR,18.13412,-67.11399
00662,Isabela,PR,18.46622,-67.01508
00664,Jayuya,PR,18.21064,-66.59066
00664,Utuado,PR,18.21064,-66.59066
00667,Lajas,PR,18.01246,-67.0417
00667,San Germán,PR,18.01246,-67.0417
00669,Lares,PR,18.27019,-66.86727
00669,Utuado,PR,18.27019,-66.86727
00669,Las Marías,PR,18.27019,-66.86727
00669,San Sebastián,PR,18.27019,-66.86727
00670,Las Marías,PR,18.23782,-66.98852
00670,Añasco,PR,18.23782,-66.98852
00670,Mayagüez,PR,18.23782,-66.98852
00670,Maricao,PR,18.23782,-66.98852
00674,Manatí,PR,18.42229,-66.4891
00674,Vega Baja,PR,18.42229,-66.4891
00676,Moca,PR,18.37897,-67.08098
00676,Aguada,PR,18.37897,-67.08098
00677,Rincón,PR,18.33535,-67.23155
00677,Añasco,PR,18.33535,-67.23155
00677,Aguada,PR,18.33535,-67.23155
00678,Quebradillas,PR,18.42949,-66.93016
00678,Isabela,PR,18.42949,-66.93016
00678,San Sebastián,PR,18.42949,-66.93016
00680,Mayagüez,PR,18.16307,-67.36122
00680,San Germán,PR,18.16307,-67.36122
00680,Añasco,PR,18.16307,-67.36122
00682,Mayagüez,PR,18.22415,-67.15309
00682,Hormigueros,PR,18.22415,-67.15309
00683,San Germán,PR,18.10926,-67.03803
00685,San Sebastián,PR,18.33656,-66.97518
00685,Isabela,PR,18.33656,-66.97518
00685,Moca,PR,18.33656,-66.97518
00687,Morovis,PR,18.31707,-66.42029
00688,Arecibo,PR,18.3807,-66.62496
00690,Aguadilla,PR,18.49363,-67.09734
00692,Vega Alta,PR,18.40905,-66.33768
00692,Vega Baja,PR,18.40905,-66.33768
00693,Vega Baja,PR,18.42633,-66.39811
00693,Vega Alta,PR,18.42633,-66.39811
00693,Manatí,PR,18.42633,-66.39811
00694,Vega Baja,PR,18.48327,-66.39269
00698,Yauco,PR,18.07274,-66.85519
00698,Guayanilla,PR,18.07274,-66.85519
00703,Aguas Buenas,PR,18.24739,-66.13143
00703,Cidra,PR,18.24739,-66.13143
00703,Comerío,PR,18.24739,-66.13143
